,1e-05,0.0001,0.001,0.01,0.1
0,3.2440789246006783,3.0078853685883606,1.9760423305388095,7.332239050277519,8.840145177768312
1,3.2152836566153047,2.4600694451823624,1.6917092823778677,9.49471837927075,6.367629833239582
2,3.1874519686429434,2.138102096129516,1.5971638064586622,6.8794268136512935,5.830354223705118
3,3.158442255144008,1.9388810992053085,1.572193344476774,5.848832457218781,5.546817593727828
4,3.1275385116407137,1.8028342249737417,1.6227356299816662,5.391833288083639,5.325497643519517
5,3.09425205079161,1.7089755612017732,1.6511778337033094,5.111870906439169,5.053439415629647
6,3.0589391066826663,1.6448137357377048,1.6587347129430987,4.904103257770832,5.098399884376981
7,3.021994967813613,1.6007188034978193,1.8265894114942007,4.758065363789888,5.037177797179497
8,2.9837752438727527,1.5698756187742648,3.053220104353713,4.664678288304829,5.052142415438252
9,2.944655662189169,1.5478431781112725,7.690564119315285,4.574723528839215,4.947277206698673
10,2.904964885331142,1.5320945023182433,11.87347683237319,4.472269620429514,4.869537599228436
11,2.8651936513778886,1.5202953045403231,12.122743748756271,4.408060499483063,4.781647074093495
12,2.8255357030874677,1.5104772495953436,11.218702371554736,4.348632154251704,4.900836919916595
13,2.7861731195889354,1.5018278902308033,10.341302632094557,4.293142690548885,4.7524980987926675
14,2.7473456684205533,1.4939713644562234,9.670193563509317,4.241364895616511,4.809775102727848
15,2.7092090081102085,1.4865711156659762,9.128636021095058,4.1924408749054285,4.64697587557007
16,2.6718156694301203,1.4794554814085874,8.674377031058322,4.170845439013905,4.632123219306387
17,2.6352116625315913,1.4726419625138407,8.286784360422905,4.142082462514478,4.688990311531101
18,2.5994248526784354,1.466366616767734,7.933921425863421,4.128879454906131,4.623520556503735
19,2.564426873307139,1.4604693737781986,7.620238351848944,4.134778901548783,4.555275257494691
20,2.5302024362020434,1.4550046878238396,7.369911038902653,4.111081272825543,4.674538797240433
21,2.4967361010400886,1.4500211972556978,7.159931712285376,4.104677131675803,4.6816497133426935
22,2.4639943902013517,1.4463243939567432,6.965018096352077,4.094271360599861,4.603146281007623
23,2.4319187684843917,1.4469637680542426,6.79793444087667,4.072895737797856,4.673044709758886
24,2.4004907995318203,1.452328700731194,6.666331615192186,4.080900235407166,4.48441382269689
25,2.3697308420131717,1.457083056050674,6.558658489097497,4.088435002683079,4.481897518173874
26,2.3396427553739163,1.457887715177992,6.4604307198243065,4.086177213235453,4.561336561577175
27,2.3102250849655976,1.4558194689676331,6.371550732443705,4.097089506303266,4.567820814387966
28,2.281467734223624,1.4548131483583964,6.289443136005842,4.122791021927945,4.513168274497195
29,2.253391690126729,1.4548796744487125,6.208407443716614,4.1302055433186275,4.491794136670547
30,2.2260003910169965,1.4575591375051808,6.134391628743731,4.1296811354607454,4.500828184976528
31,2.199267938290489,1.461845204946757,6.071269773850603,4.136848194903923,4.539758597349182
32,2.1731893178617487,1.4666914082831084,6.01568304461202,4.126333812280439,4.57256509424533
33,2.1477751060458656,1.4712881526688637,5.96482374910262,4.114907975162625,4.615220655419849
34,2.123044572183308,1.4755358388608628,5.920974324439419,4.135653746415242,4.597067016331904
35,2.098995267343296,1.4786348259655726,5.8772796478532605,4.145243529184755,4.47100986838804
36,2.075662296510531,1.4816573127664108,5.832354112271576,4.144076223727809,4.484274543214564
37,2.0530651176477384,1.4851173891282126,5.788549654536441,4.1736074717049645,4.48933568072813
38,2.03120437411667,1.4890485616669487,5.74620609427641,4.174155753653657,4.484213840316596
39,2.0100758959072316,1.4917975574206312,5.706674307376071,4.196258243556184,4.5445062733685795
40,1.989680498497815,1.492221692905387,5.671849879141319,4.199640397602696,4.512139336746142
41,1.9700077524634738,1.491117877690226,5.639283636284002,4.22765101253194,4.474534799587543
42,1.951055760520377,1.4919564222768391,5.608947150855218,4.232202884558296,4.5146370189308165
43,1.9328226550378211,1.497952785665761,5.58347506545221,4.243085933559766,4.5635045575079545
44,1.9153009205654878,1.5101495066712292,5.559754540916491,4.262304946303434,4.501172278626187
45,1.8984615031807501,1.5285526195248214,5.535334279080589,4.249916393540791,4.560723257101604
46,1.8823237058905644,1.5497896314416921,5.512701753428213,4.245175401798989,4.478859925177384
47,1.8668451847251952,1.5687885451619983,5.492174594728267,4.241344181554569,4.513422843724652
48,1.8519810398191705,1.5826880156929997,5.470388920155328,4.239333416499356,4.61057349358603
49,1.8377334153017355,1.5930011971871538,5.454965151872542,4.257948645062085,4.548300533797686
50,1.8241102171667145,1.6017058504423365,5.440891438488178,4.266672416988631,4.595247279859152
51,1.8110946336196843,1.6101321198141514,5.424248580427739,4.257633680696634,4.567040929846177
52,1.7986589367213277,1.621284003016512,5.405636955272743,4.273536807427768,4.646508347362542
53,1.7867783717872479,1.6321684334504878,5.386118988932065,4.259401754380557,4.594460410029564
54,1.7754482951983264,1.6360669083250103,5.367736762404332,4.240459737025652,4.635989248122846
55,1.7646601075217865,1.62329233676453,5.349284652646747,4.231477915093073,4.684240302606911
56,1.7543848895438632,1.6166732232747403,5.3271998744744185,4.224047694939688,4.670259541842858
57,1.7446323486032953,1.6271242670048396,5.303797176213596,4.23502411122642,4.630114127564732
58,1.7353866368315567,1.6452903991853478,5.280606731123784,4.234439538869606,4.678818111920869
59,1.7266303627148876,1.6596079415245395,5.26055820634896,4.23380340981191,4.631396244655813
60,1.718356886675205,1.6620418903128538,5.244056691743588,4.242276196124405,4.698179072694003
61,1.710569759414269,1.6546399964055596,5.2294321170643,4.244667476754398,4.672993931242042
62,1.703253894071024,1.649049854981897,5.214870031056724,4.260287737013907,4.6632413796570455
63,1.6963649064755277,1.6439442703562857,5.201177638554194,4.271606829208607,4.690066447341043
64,1.689901400360686,1.6389784685379714,5.188539040527457,4.278382117958252,4.770805740402351
65,1.683853109288059,1.6456340680676143,5.178076930495336,4.28010517249101,4.716512199228785
66,1.6782100231650054,1.6644554856734322,5.169040655729457,4.284472306271242,4.630990544113253
67,1.6729463475414705,1.6776117949878095,5.157770326964349,4.285575823764208,4.686179709451612
68,1.6680440623215678,1.66646525137457,5.14497487066224,4.3087443575319915,4.693013892312266
69,1.6634933262161216,1.6544951132147445,5.134170244692175,4.3337021310727915,4.698800717907353
70,1.6592481215116017,1.6997091874002477,5.122173834057852,4.322421585283208,4.668086004272053
71,1.6553245892315684,1.8029240312081254,5.1098189824823175,4.316537953513534,4.645056298298263
72,1.651707112779711,1.9234008383308845,5.096941668574586,4.32342473440573,4.658005269624432
73,1.6483758950819507,1.9967267196701548,5.082471571693991,4.319446193294424,4.6877218726539365
74,1.6453309255872228,2.0270115622784024,5.067050283895188,4.311971270358801,4.758079902768423
