,1e-05,0.0001,0.001,0.01,0.1
0,3.2574189371365114,3.215139268456229,2.5030782301342653,12.568345160026247,20.124203460036412
1,3.2472748384776327,3.0457531789671153,2.2478056511198488,20.414602876613277,20.39103315716836
2,3.2391564210588304,2.8084787578241364,2.376018266942367,20.085537577178766,20.08259071001926
3,3.2319039096374382,2.58943512940357,2.6106242811601095,19.864102598310005,19.87035462620953
4,3.225003737605377,2.4591016369215586,2.955158556064278,19.70025825847205,19.711729759850318
5,3.21813782171749,2.3558015283756797,3.944047934284891,19.572499495061436,19.587395445598023
6,3.21112143841279,2.2517259227723625,8.69135950130734,19.469503751766354,19.486848406404324
7,3.203806603182261,2.1712662982033883,14.456936704908808,19.384514712412816,19.403714070143533
8,3.196044096679812,2.12412641944084,17.871522457115237,19.313158342262298,19.333822108008338
9,3.187712418943869,2.0909949072936547,18.742423545701794,19.252433938436365,19.27429117869413
10,3.1787470475607447,2.066377892168303,19.000247283463803,19.20019155514039,19.223046247336764
11,3.1691218400495798,2.0488599982395717,19.085578553745815,19.154837918818156,19.178543591919144
12,3.158842875714408,2.036551759660452,19.104571352629215,19.115160063350007,19.139604412242313
13,3.1478912885675294,2.0281399441350723,19.09558023704189,19.080214081130013,19.10530916141307
14,3.1362040691853483,2.021640143725948,19.075041596004482,19.049251993803367,19.07492771617015
15,3.1237449710229512,2.016765473110011,19.05048570070624,19.02167200030997,19.04787166680147
16,3.110567832063705,2.013611124259225,19.025396266688663,18.996983629689694,19.023660782741597
17,3.096726237993925,2.0116821289645723,19.00132397511405,18.974782716141252,19.001898859646463
18,3.082200203741923,2.010956663881786,18.978883071185614,18.954733034027775,18.98225595014051
19,3.067002586061106,2.0113063684223365,18.958239563470187,18.93655256212331,18.964455045177495
20,3.051134355878245,2.012871700575549,18.93935338747044,18.92000303665973,18.948261925493746
21,3.034617018939155,2.0157626775975497,18.92209799362833,18.904881886561846,18.93347731445351
22,3.0174997043829306,2.019720954590379,18.906318271648562,18.891015924323757,18.919930730342283
23,2.99983257368886,2.024893714474412,18.89185752771562,18.878256351071062,18.907475612996766
24,2.9816597246089867,2.0315079185035154,18.87856911082149,18.86647475927584,18.895985419357597
25,2.963016458699089,2.039033338864961,18.866320590105747,18.855559902606537,18.885350465080254
26,2.9439293499980876,2.047673676127673,18.854994452814132,18.845415062547854,18.87547534726528
27,2.924427118299005,2.0573446977244507,18.84448728798892,18.835955884264727,18.866276824631793
28,2.904537885703838,2.068176104465097,18.834708406337118,18.827108585061268,18.857682061294888
29,2.884299965239941,2.0803852331024393,18.825578338921165,18.818808461386087,18.849627162151176
30,2.8637361576325717,2.0937010324296725,18.817027407161767,18.810998637045238,18.842055944078144
31,2.842855683823044,2.1081892886409377,18.808994436416356,18.803629007810923,18.834918899278033
32,2.8216749974672,2.1237625296370237,18.801425629834515,18.796655347078328,18.8281723163101
33,2.800182369093414,2.140354039232817,18.79427359519766,18.79003854447321,18.821777531374753
34,2.778410011603999,2.1582074072813726,18.787496508560473,18.78374395487657,18.81570028785198
35,2.7564252550198804,2.177470987390792,18.781057396521547,18.777740839678966,18.80991018631022
36,2.7342412678222354,2.197796195174736,18.77492351984176,18.772001885487587,18.804380210536273
37,2.711855198391418,2.219606717302108,18.769065843129383,18.76650278819411,18.799086317741388
38,2.689273199516938,2.242959094502835,18.763458577475507,18.761221892433806,18.794007083199265
39,2.6664899866253244,2.2678059574379863,18.758078784980228,18.75613987821259,18.78912339123944
40,2.643486636326975,2.2941014438025826,18.752906035932046,18.751239487840884,18.78441816587703
41,2.620265627189871,2.3220594661566163,18.747922110850926,18.746505287427233,18.77987613544959
